city,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
NWT,136422,174257,155940,176521,231939,269169,274224,300939,353939,321523,309112,315608,300257,264299,182328,90934,64190,32528,15975,4813,886
TPE,93933,117967,106955,100864,123277,141666,152216,182787,211131,191167,186053,186288,182878,173689,135770,74939,57991,33592,18187,5691,1083
TAO,101862,116770,104151,114892,144891,163522,166437,180783,203803,176926,168212,162788,145034,124563,84062,43555,31517,17160,9610,2512,380
TXG,112802,143438,127380,138904,179168,202872,201002,219931,245792,213907,209603,207499,188442,160115,110098,57982,44384,23930,10737,2694,389
TNN,60861,81504,74001,81318,106295,122741,125489,141416,161055,141727,140190,147502,142369,118848,84982,46073,39250,23777,10453,2297,281
KHH,94007,114103,104629,121700,159414,183219,181894,198013,234521,220679,214359,211540,201748,183342,136113,71128,53274,27265,11880,2892,367
ILA,15126,18700,17838,20979,28233,32841,30226,30434,34467,33221,35043,36011,33850,27875,19527,12522,11824,6664,2826,668,88
HSQ,26840,34385,30332,30799,35810,38771,39334,45211,53600,47420,42502,39167,33985,26421,18545,11857,10888,6223,2765,734,93
MIA,16267,24452,22506,26540,33329,37682,36018,39445,44141,38823,39686,40931,39431,32299,22841,14849,13695,8149,3696,891,109
CHA,49349,53371,50893,62596,80993,89134,87153,94113,103367,90008,86634,91834,88170,75005,55406,32879,29602,18276,7486,1772,221
NAN,14413,18056,17803,22710,30500,34475,31364,32261,36208,33468,36739,40112,38704,32190,23588,14221,13130,7725,3375,799,102
YUN,20380,25112,26110,32775,43001,44263,40231,46231,54260,50416,50010,52642,48350,40976,31984,21837,20056,11975,4840,1089,117
CYQ,12828,14640,15197,22539,31632,33951,30304,32001,36764,35575,38602,41881,39914,33096,25296,15874,15564,9803,4343,893,127
PIF,23609,29655,28370,36057,50188,57942,52327,54538,63299,59416,63212,66505,63563,53767,39749,22928,19883,11034,4349,881,105
TTT,7106,8360,8327,10272,13517,14812,13438,14095,16076,16408,17455,17694,16290,13536,10067,6067,4907,2823,1298,357,54
HUA,11067,13138,12515,14897,19805,22916,20424,21498,24606,24091,25273,25351,24788,21333,15190,8991,7209,4191,1908,562,89
PEN,4153,3384,3074,4844,8064,8241,7616,7773,8277,7897,7942,8167,7751,6402,4670,2847,2358,1736,795,203,22
KEE,10120,13345,12749,15386,21887,25715,24173,23625,28172,27689,29650,30886,30331,26031,18114,9075,7956,4146,1886,558,118
HSZ,20957,28402,25377,23757,26421,28119,29579,35527,43468,37117,33198,29871,26608,22596,16111,9370,7218,4045,2044,616,93
CYI,8884,12547,12596,13627,17571,18370,16625,18011,21174,19814,20124,20086,18362,15933,11851,6815,5635,3344,1438,353,42
KIN,4452,3897,3618,5611,10428,12148,10711,10074,9932,9997,11642,13626,12343,9200,4942,2983,2405,1552,678,208,63
LIE,544,449,443,505,1011,1276,1160,1004,1055,1045,1089,1210,1092,818,457,224,168,116,54,27,5
