Region,area,numCity,numVillage,numNeighborhood,numHouse,population,male,female,sexRatio,densityArea,densityHouse
TW,36197.0669,368,7746,142480,9002584,23215015,11493738,11721277,98.06,641.35,2.58
NWT,2052.5667,29,1032,22150,1620113,3975803,1940507,2035296,95.34,1936.99,2.45
TPE,271.7997,12,456,9572,1043569,2478124,1179782,1298342,90.87,9117.46,2.37
TAO,1220.954,13,516,11930,863712,2263430,1119790,1143640,97.91,1853.82,2.62
TXG,2214.8968,29,625,12517,1020026,2801069,1373848,1427221,96.26,1264.65,2.75
TNN,2191.6531,37,649,9656,710333,1852429,922064,930365,99.11,845.22,2.61
KHH,2951.8524,38,891,17308,1128283,2726087,1342982,1383105,97.1,923.52,2.42
ILA,2143.6251,12,233,3661,174421,448963,226008,222955,101.37,209.44,2.57
HSQ,1427.5369,13,192,3332,211582,575682,293752,281930,104.19,403.27,2.72
MIA,1820.3149,18,275,4695,195608,535780,276022,259758,106.26,294.33,2.74
CHA,1074.396,26,589,9188,399712,1248262,633559,614703,103.07,1161.83,3.12
NAN,4106.436,13,262,4271,179526,481943,246038,235905,104.3,117.36,2.68
YUN,1290.8326,20,392,6484,244597,666655,344364,322291,106.85,516.45,2.73
CYQ,1903.6367,18,357,5366,185012,490824,254485,236339,107.68,257.83,2.65
PIF,2775.6003,33,443,7102,293646,801377,407795,393582,103.61,288.72,2.73
TTT,3515.2526,16,139,2378,84040,212959,109159,103800,105.16,60.58,2.53
HUA,4628.5714,13,177,3626,127897,319842,161579,158263,102.1,69.1,2.5
PEN,126.8641,6,96,1398,42383,106216,54594,51622,105.76,837.24,2.51
KEE,132.7589,7,157,3327,156035,361612,180267,181345,99.41,2723.82,2.32
HSZ,104.1526,3,122,2170,174141,450494,222438,228056,97.54,4325.33,2.59
CYI,60.0256,2,84,1414,101753,263202,126921,136281,93.13,4384.83,2.59
KIN,151.656,6,37,799,42612,140510,69802,70708,98.72,926.5,3.3
LIE,28.8,4,22,136,3583,13752,7982,5770,138.34,477.5,3.84
