city,date,count,accumulateCount
KEE,2020-01-28,0,0
NWT,2020-01-28,0,0
TPE,2020-01-28,0,0
TAO,2020-01-28,0,0
HSZ,2020-01-28,0,0
HSQ,2020-01-28,0,0
MIA,2020-01-28,0,0
TXG,2020-01-28,0,0
CHA,2020-01-28,1,1
NAN,2020-01-28,0,0
YUN,2020-01-28,0,0
CYQ,2020-01-28,0,0
CYI,2020-01-28,0,0
TNN,2020-01-28,0,0
KHH,2020-01-28,0,0
PIF,2020-01-28,0,0
ILA,2020-01-28,0,0
HUA,2020-01-28,0,0
TTT,2020-01-28,0,0
PEN,2020-01-28,0,0
KIN,2020-01-28,0,0
LIE,2020-01-28,0,0
TW,2020-01-28,1,1
KEE,2020-01-29,0,0
NWT,2020-01-29,0,0
TPE,2020-01-29,0,0
TAO,2020-01-29,0,0
HSZ,2020-01-29,0,0
HSQ,2020-01-29,0,0
MIA,2020-01-29,0,0
TXG,2020-01-29,0,0
CHA,2020-01-29,0,0
NAN,2020-01-29,0,0
YUN,2020-01-29,0,0
CYQ,2020-01-29,0,0
CYI,2020-01-29,0,0
TNN,2020-01-29,0,0
KHH,2020-01-29,0,0
PIF,2020-01-29,0,0
ILA,2020-01-29,0,0
HUA,2020-01-29,0,0
TTT,2020-01-29,0,0
PEN,2020-01-29,0,0
KIN,2020-01-29,0,0
LIE,2020-01-29,0,0
TW,2020-01-29,0,0
KEE,2020-01-30,0,0
NWT,2020-01-30,0,0
TPE,2020-01-30,0,0
TAO,2020-01-30,0,0
HSZ,2020-01-30,0,0
HSQ,2020-01-30,0,0
MIA,2020-01-30,0,0
TXG,2020-01-30,0,0
CHA,2020-01-30,0,0
NAN,2020-01-30,1,1
YUN,2020-01-30,0,0
CYQ,2020-01-30,0,0
CYI,2020-01-30,0,0
TNN,2020-01-30,0,0
KHH,2020-01-30,0,0
PIF,2020-01-30,0,0
ILA,2020-01-30,0,0
HUA,2020-01-30,0,0
TTT,2020-01-30,0,0
PEN,2020-01-30,0,0
KIN,2020-01-30,0,0
LIE,2020-01-30,0,0
TW,2020-01-30,1,1
KEE,2020-01-31,0,0
NWT,2020-01-31,0,0
TPE,2020-01-31,0,0
TAO,2020-01-31,0,0
HSZ,2020-01-31,0,0
HSQ,2020-01-31,0,0
MIA,2020-01-31,0,0
TXG,2020-01-31,0,0
CHA,2020-01-31,0,0
NAN,2020-01-31,0,0
YUN,2020-01-31,0,0
CYQ,2020-01-31,0,0
CYI,2020-01-31,0,0
TNN,2020-01-31,0,0
KHH,2020-01-31,0,0
PIF,2020-01-31,0,0
ILA,2020-01-31,0,0
HUA,2020-01-31,0,0
TTT,2020-01-31,0,0
PEN,2020-01-31,0,0
KIN,2020-01-31,0,0
LIE,2020-01-31,0,0
TW,2020-01-31,0,0
KEE,2020-02-01,0,0
NWT,2020-02-01,0,0
TPE,2020-02-01,0,0
TAO,2020-02-01,0,0
HSZ,2020-02-01,0,0
HSQ,2020-02-01,0,0
MIA,2020-02-01,0,0
TXG,2020-02-01,0,0
CHA,2020-02-01,0,0
NAN,2020-02-01,0,0
YUN,2020-02-01,0,0
CYQ,2020-02-01,0,0
CYI,2020-02-01,0,0
TNN,2020-02-01,0,0
KHH,2020-02-01,0,0
PIF,2020-02-01,0,0
ILA,2020-02-01,0,0
HUA,2020-02-01,0,0
TTT,2020-02-01,0,0
PEN,2020-02-01,0,0
KIN,2020-02-01,0,0
LIE,2020-02-01,0,0
TW,2020-02-01,0,0
KEE,2020-02-02,0,0
NWT,2020-02-02,0,0
TPE,2020-02-02,0,0
TAO,2020-02-02,0,0
HSZ,2020-02-02,0,0
HSQ,2020-02-02,0,0
