city,date,vac_1,vac_2,vac_3,vac_4
CHA,2021-11-22,78.20,48.70,0.00,0.00
CHA,2021-11-23,78.20,48.70,0.00,0.00
CHA,2021-11-24,78.20,48.70,0.00,0.00
CHA,2021-11-25,78.20,48.70,0.00,0.00
CHA,2021-11-26,78.20,48.70,0.00,0.00
CHA,2021-11-27,78.20,48.70,0.00,0.00
CHA,2021-11-28,78.20,48.70,0.00,0.00
CHA,2021-11-29,79.20,56.20,0.00,0.00
CHA,2021-11-30,79.20,56.20,0.00,0.00
CHA,2021-12-01,79.20,56.20,0.00,0.00
CHA,2021-12-02,79.20,56.20,0.00,0.00
CHA,2021-12-03,79.20,56.20,0.00,0.00
CHA,2021-12-04,79.20,56.20,0.00,0.00
CHA,2021-12-05,79.20,56.20,0.00,0.00
CHA,2021-12-06,79.20,59.90,0.00,0.00
CHA,2021-12-07,79.20,59.90,0.00,0.00
CHA,2021-12-08,79.20,59.90,0.00,0.00
CHA,2021-12-09,79.20,59.90,0.00,0.00
CHA,2021-12-10,79.20,59.90,0.00,0.00
CHA,2021-12-11,79.20,59.90,0.00,0.00
CHA,2021-12-12,79.20,59.90,0.00,0.00
CHA,2021-12-13,80.50,64.60,0.00,0.00
CHA,2021-12-14,80.50,64.60,0.00,0.00
CHA,2021-12-15,80.50,64.60,0.00,0.00
CHA,2021-12-16,80.50,64.60,0.00,0.00
CHA,2021-12-17,80.50,64.60,0.00,0.00
CHA,2021-12-18,80.50,64.60,0.00,0.00
CHA,2021-12-19,80.50,64.60,0.00,0.00
CHA,2021-12-20,81.10,66.30,0.00,0.00
CHA,2021-12-21,81.10,66.30,0.00,0.00
CHA,2021-12-22,81.10,66.30,0.00,0.00
CHA,2021-12-23,81.10,66.30,0.00,0.00
CHA,2021-12-24,81.10,66.30,0.00,0.00
CHA,2021-12-25,81.10,66.30,0.00,0.00
CHA,2021-12-26,81.10,66.30,0.00,0.00
CHA,2021-12-27,81.20,67.10,0.40,0.00
CHA,2021-12-28,81.20,67.10,0.40,0.00
CHA,2021-12-29,81.20,67.10,0.40,0.00
CHA,2021-12-30,81.20,67.10,0.40,0.00
CHA,2021-12-31,81.20,67.10,0.40,0.00
CHA,2022-01-01,81.20,67.10,0.40,0.00
CHA,2022-01-02,81.20,67.10,0.40,0.00
CHA,2022-01-03,81.50,69.00,0.70,0.00
CHA,2022-01-04,81.50,69.00,0.70,0.00
CHA,2022-01-05,81.50,69.00,0.70,0.00
CHA,2022-01-06,81.50,69.00,0.70,0.00
CHA,2022-01-07,81.50,69.00,0.70,0.00
CHA,2022-01-08,81.50,69.00,0.70,0.00
CHA,2022-01-09,81.50,69.00,0.70,0.00
CHA,2022-01-10,81.50,69.00,0.70,0.00
CHA,2022-01-11,81.50,69.00,0.70,0.00
CHA,2022-01-12,81.50,69.00,0.70,0.00
CHA,2022-01-13,81.50,69.00,0.70,0.00
CHA,2022-01-14,81.50,69.00,0.70,0.00
CHA,2022-01-15,81.50,69.00,0.70,0.00
