id,個案研判日,個案公佈日,縣市別,區域,新增確診人數,累計確診人數
1,2022/6/1,2022/6/1,南投縣,全區,1320,21584
2,2022/6/1,2022/6/1,南投縣,南投市,391,5547
3,2022/6/1,2022/6/1,南投縣,草屯鎮,276,4149
4,2022/6/1,2022/6/1,南投縣,埔里鎮,175,3298
5,2022/6/1,2022/6/1,南投縣,竹山鎮,133,2506
6,2022/6/1,2022/6/1,南投縣,名間鄉,94,1527
7,2022/6/1,2022/6/1,南投縣,仁愛鄉,69,1116
8,2022/6/1,2022/6/1,南投縣,信義鄉,44,971
9,2022/6/1,2022/6/1,南投縣,國姓鄉,33,551
10,2022/6/1,2022/6/1,南投縣,鹿谷鄉,27,511
11,2022/6/1,2022/6/1,南投縣,水里鄉,24,460
12,2022/6/1,2022/6/1,南投縣,中寮鄉,27,368
13,2022/6/1,2022/6/1,南投縣,魚池鄉,13,307
14,2022/6/1,2022/6/1,南投縣,集集鎮,14,273
15,2022/6/1,2022/6/1,台中市,全區,10706,193153
16,2022/6/1,2022/6/1,台中市,北屯區,933,18395
17,2022/6/1,2022/6/1,台中市,西屯區,914,17863
18,2022/6/1,2022/6/1,台中市,大里區,889,14783
19,2022/6/1,2022/6/1,台中市,太平區,1021,14192
20,2022/6/1,2022/6/1,台中市,南屯區,615,11310
21,2022/6/1,2022/6/1,台中市,北區,448,11162
22,2022/6/1,2022/6/1,台中市,豐原區,544,9276
23,2022/6/1,2022/6/1,台中市,南區,417,8803
24,2022/6/1,2022/6/1,台中市,沙鹿區,389,8143
25,2022/6/1,2022/6/1,台中市,西區,371,7346
26,2022/6/1,2022/6/1,台中市,大雅區,386,6991
27,2022/6/1,2022/6/1,台中市,潭子區,359,6893
28,2022/6/1,2022/6/1,台中市,清水區,278,6552
29,2022/6/1,2022/6/1,台中市,梧棲區,322,6027
30,2022/6/1,2022/6/1,台中市,烏日區,353,5729
31,2022/6/1,2022/6/1,台中市,龍井區,321,5712
32,2022/6/1,2022/6/1,台中市,東區,296,5647
33,2022/6/1,2022/6/1,台中市,霧峰區,295,4809
34,2022/6/1,2022/6/1,台中市,大甲區,339,4460
35,2022/6/1,2022/6/1,台中市,神岡區,217,4346
36,2022/6/1,2022/6/1,台中市,大肚區,250,3712
37,2022/6/1,2022/6/1,台中市,后里區,155,2844
38,2022/6/1,2022/6/1,台中市,東勢區,168,2156
39,2022/6/1,2022/6/1,台中市,外埔區,135,1603
40,2022/6/1,2022/6/1,台中市,中區,58,1418
41,2022/6/1,2022/6/1,台中市,大安區,88,1019
42,2022/6/1,2022/6/1,台中市,新社區,68,865
43,2022/6/1,2022/6/1,台中市,石岡區,33,584
44,2022/6/1,2022/6/1,台中市,和平區,44,513
45,2022/6/1,2022/6/1,台北市,全區,6237,277274
46,2022/6/1,2022/6/1,台北市,萬華區,461,29732
47,2022/6/1,2022/6/1,台北市,北投區,617,29241
48,2022/6/1,2022/6/1,台北市,文山區,626,29172
49,2022/6/1,2022/6/1,台北市,士林區,662,28939
50,2022/6/1,2022/6/1,台北市,內湖區,676,27656
51,2022/6/1,2022/6/1,台北市,中山區,563,24593
52,2022/6/1,2022/6/1,台北市,信義區,603,24383
53,2022/6/1,2022/6/1,台北市,大安區,553,23374
54,2022/6/1,2022/6/1,台北市,松山區,442,17931
55,2022/6/1,2022/6/1,台北市,大同區,348,15032
56,2022/6/1,2022/6/1,台北市,南港區,360,14328
57,2022/6/1,2022/6/1,台北市,中正區,326,12893
58,2022/6/1,2022/6/1,台南市,全區,6144,114082
59,2022/6/1,2022/6/1,台南市,永康區,798,19850
60,2022/6/1,2022/6/1,台南市,安南區,831,13357
61,2022/6/1,2022/6/1,台南市,東區,458,10112
62,2022/6/1,2022/6/1,台南市,南區,470,8361
63,2022/6/1,2022/6/1,台南市,北區,407,8326
64,2022/6/1,2022/6/1,台南市,仁德區,302,5765
65,2022/6/1,2022/6/1,台南市,歸仁區,229,4424
66,2022/6/1,2022/6/1,台南市,中西區,221,4184
67,2022/6/1,2022/6/1,台南市,安平區,214,4174
68,2022/6/1,2022/6/1,台南市,新營區,281,4067
69,2022/6/1,2022/6/1,台南市,善化區,168,3440
70,2022/6/1,2022/6/1,台南市,新市區,164,3015
71,2022/6/1,2022/6/1,台南市,新化區,136,2890
72,2022/6/1,2022/6/1,台南市,佳里區,171,2751
73,2022/6/1,2022/6/1,台南市,關廟區,132,2411
74,2022/6/1,2022/6/1,台南市,麻豆區,173,2269
75,2022/6/1,2022/6/1,台南市,安定區,101,1837
76,2022/6/1,2022/6/1,台南市,柳營區,85,1285
77,2022/6/1,2022/6/1,台南市,西港區,75,1200
78,2022/6/1,2022/6/1,台南市,官田區,81,994
79,2022/6/1,2022/6/1,台南市,六甲區,80,973
80,2022/6/1,2022/6/1,台南市,鹽水區,61,962
81,2022/6/1,2022/6/1,台南市,學甲區,56,932
82,2022/6/1,2022/6/1,台南市,下營區,71,841
83,2022/6/1,2022/6/1,台南市,七股區,42,821
84,2022/6/1,2022/6/1,台南市,後壁區,50,752
85,2022/6/1,2022/6/1,台南市,白河區,55,693
86,2022/6/1,2022/6/1,台南市,將軍區,42,591
87,2022/6/1,2022/6/1,台南市,東山區,46,567
88,2022/6/1,2022/6/1,台南市,山上區,22,548
89,2022/6/1,2022/6/1,台南市,玉井區,32,444
90,2022/6/1,2022/6/1,台南市,大內區,17,325
91,2022/6/1,2022/6/1,台南市,北門區,20,236
92,2022/6/1,2022/6/1,台南市,左鎮區,15,229
93,2022/6/1,2022/6/1,台南市,楠西區,20,208
94,2022/6/1,2022/6/1,台南市,南化區,12,171
95,2022/6/1,2022/6/1,台南市,龍崎區,6,77
96,2022/6/1,2022/6/1,台東縣,全區,879,15445
97,2022/6/1,2022/6/1,台東縣,台東市,516,8693
98,2022/6/1,2022/6/1,台東縣,卑南鄉,53,1041
99,2022/6/1,2022/6/1,台東縣,成功鎮,52,813
100,2022/6/1,2022/6/1,台東縣,太麻里鄉,40,636
101,2022/6/1,2022/6/1,台東縣,關山鎮,17,535
102,2022/6/1,2022/6/1,台東縣,蘭嶼鄉,19,486
103,2022/6/1,2022/6/1,台東縣,海端鄉,19,463
104,2022/6/1,2022/6/1,台東縣,東河鄉,14,440
105,2022/6/1,2022/6/1,台東縣,長濱鄉,21,440
106,2022/6/1,2022/6/1,台東縣,鹿野鄉,21,369
107,2022/6/1,2022/6/1,台東縣,池上鄉,25,316
108,2022/6/1,2022/6/1,台東縣,延平鄉,19,305
109,2022/6/1,2022/6/1,台東縣,金峰鄉,6,290
110,2022/6/1,2022/6/1,台東縣,綠島鄉,13,283
111,2022/6/1,2022/6/1,台東縣,大武鄉,23,223
112,2022/6/1,2022/6/1,台東縣,達仁鄉,21,112
113,2022/6/1,2022/6/1,嘉義市,全區,756,11524
114,2022/6/1,2022/6/1,嘉義市,西區,410,6497
115,2022/6/1,2022/6/1,嘉義市,東區,346,5027
116,2022/6/1,2022/6/1,嘉義縣,全區,1168,18140
117,2022/6/1,2022/6/1,嘉義縣,民雄鄉,234,3446
118,2022/6/1,2022/6/1,嘉義縣,水上鄉,148,2595
119,2022/6/1,2022/6/1,嘉義縣,中埔鄉,100,1660
120,2022/6/1,2022/6/1,嘉義縣,太保市,110,1636
121,2022/6/1,2022/6/1,嘉義縣,朴子市,120,1543
122,2022/6/1,2022/6/1,嘉義縣,大林鎮,81,1420
123,2022/6/1,2022/6/1,嘉義縣,竹崎鄉,66,908
124,2022/6/1,2022/6/1,嘉義縣,新港鄉,55,887
125,2022/6/1,2022/6/1,嘉義縣,布袋鎮,68,684
126,2022/6/1,2022/6/1,嘉義縣,六腳鄉,38,627
127,2022/6/1,2022/6/1,嘉義縣,鹿草鄉,18,554
128,2022/6/1,2022/6/1,嘉義縣,梅山鄉,15,485
129,2022/6/1,2022/6/1,嘉義縣,溪口鄉,16,424
130,2022/6/1,2022/6/1,嘉義縣,東石鄉,33,360
131,2022/6/1,2022/6/1,嘉義縣,義竹鄉,19,355
132,2022/6/1,2022/6/1,嘉義縣,番路鄉,20,295
133,2022/6/1,2022/6/1,嘉義縣,阿里山鄉,18,204
134,2022/6/1,2022/6/1,嘉義縣,大埔鄉,9,57
135,2022/6/1,2022/6/1,基隆市,全區,1190,59310
136,2022/6/1,2022/6/1,基隆市,安樂區,328,13143
137,2022/6/1,2022/6/1,基隆市,中正區,153,8863
